type,word,count,substituted_with
substitution,the,1,totally
substitution,the,1,gotta
substitution,the,2,you
substitution,the,1,drugs
substitution,the,1,some
substitution,the,1,drop
substitution,the,1,but
substitution,the,1,she
substitution,the,1,only
substitution,the,1,yall
substitution,the,1,promo
substitution,the,1,keep
substitution,the,2,do
substitution,the,1,top
substitution,the,1,car
substitution,the,2,that
substitution,the,1,speed
substitution,the,1,love
substitution,the,1,wildin
substitution,the,1,come
substitution,the,1,be
substitution,the,2,im
substitution,the,1,carpet
substitution,the,1,floor
substitution,the,1,with
substitution,the,1,go
substitution,the,1,in
substitution,the,1,gave
substitution,cheap,1,he
substitution,cheap,1,week
substitution,teeth,1,aint
substitution,thats,1,me
substitution,embarrasin,1,you
substitution,he,1,can
substitution,he,1,just
substitution,me,2,the
substitution,me,1,last
substitution,me,1,hit
substitution,me,1,deal
substitution,me,1,im
substitution,me,1,babe
substitution,me,1,love
substitution,me,1,gotta
substitution,me,1,ive
substitution,me,1,red
substitution,me,1,have
substitution,me,1,i
substitution,me,2,she
substitution,me,1,been
substitution,me,1,never
substitution,me,1,cause
substitution,me,1,and
substitution,me,1,army
substitution,me,1,for
substitution,me,1,know
substitution,keep,1,bitch
substitution,keep,1,here
substitution,keep,1,new
substitution,keep,1,no
substitution,keep,1,im
substitution,keep,1,you
substitution,keep,1,roxanne
substitution,comparisons,1,one
substitution,bitch,1,the
substitution,bitch,1,tryna
substitution,bitch,1,i
substitution,bitch,1,good
substitution,probably,1,baddies
substitution,probably,1,papa
substitution,probably,1,they
substitution,one,1,good
substitution,one,1,done
substitution,one,1,do
substitution,one,1,can
substitution,one,1,past
substitution,of,1,girl
substitution,of,1,keep
substitution,of,1,away
substitution,of,1,nobody
substitution,of,1,im
substitution,of,1,no
substitution,of,1,the
substitution,of,1,get
substitution,of,1,had
substitution,of,1,crystal
substitution,baddest,1,into
substitution,good,2,a
substitution,good,1,toss
substitution,good,1,bullshit
substitution,good,1,im
substitution,good,1,me
substitution,girl,1,savage
substitution,girl,1,so
substitution,girl,1,only
substitution,girl,1,a
substitution,girl,1,and
substitution,turned,1,this
substitution,into,1,got
substitution,savage,1,problem
substitution,dispatch,1,in
substitution,problem,1,cant
substitution,traffic,1,it
substitution,we,1,matching
substitution,we,1,keep
substitution,we,1,got
substitution,we,1,lot
substitution,we,1,far
substitution,we,1,vagan
substitution,we,1,be
substitution,we,1,change
substitution,came,1,she
substitution,through,1,wagging
substitution,through,1,just
substitution,through,1,me
substitution,through,1,need
substitution,matching,1,key
substitution,gwagons,1,i
substitution,lowkey,1,been
substitution,ive,1,keeping
substitution,ive,1,dodging
substitution,ive,1,through
substitution,been,1,it
substitution,been,2,the
substitution,been,1,death
substitution,keeping,1,classy
substitution,it,1,could
substitution,it,1,this
substitution,it,1,im
substitution,it,2,i
substitution,it,1,pistol
substitution,it,1,the
substitution,it,1,magic
substitution,it,1,jet
substitution,it,1,shit
substitution,it,1,youre
substitution,it,1,be
substitution,it,1,sorry
substitution,it,1,no
substitution,it,1,fucking
substitution,it,1,like
substitution,it,1,in
substitution,it,1,have
substitution,it,1,with
substitution,it,1,ive
substitution,it,1,flex
substitution,it,1,sex
substitution,it,1,now
substitution,it,1,but
substitution,it,1,you
substitution,it,1,me
substitution,it,1,couldnt
substitution,it,1,love
substitution,it,1,ass
substitution,it,1,that
substitution,it,1,hop
substitution,it,1,oh
substitution,it,1,your
substitution,it,1,she
substitution,it,1,free
substitution,it,1,around
substitution,classy,1,be
substitution,could,1,really
substitution,out,1,doing
substitution,out,1,eboot
substitution,out,2,fuck
substitution,out,1,you
substitution,out,1,put
substitution,out,1,my
substitution,out,1,on
substitution,out,1,far
substitution,out,1,her
substitution,out,1,estate
substitution,doin,1,nasty
substitution,doin,2,doing
substitution,doin,1,im
substitution,doin,1,my
substitution,doin,1,feeling
substitution,nasty,1,couldnt
substitution,niggas,1,even
substitution,niggas,1,last
substitution,niggas,3,ns
substitution,niggas,1,they
substitution,niggas,1,what
substitution,niggas,1,know
substitution,niggas,1,nigga
substitution,niggas,1,i
substitution,niggas,1,mil
substitution,couldnt,1,see
substitution,couldnt,1,jotka
substitution,couldnt,1,the
substitution,see,1,in
substitution,see,1,got
substitution,see,1,as
substitution,see,1,be
substitution,see,1,of
substitution,see,1,versus
substitution,last,1,just
substitution,last,1,i
substitution,last,1,sure
substitution,year,1,started
substitution,just,2,and
substitution,just,1,the
substitution,just,1,out
substitution,just,1,gotta
substitution,just,1,bit
substitution,just,1,warning
substitution,just,1,babe
substitution,just,1,oh
substitution,just,1,like
substitution,just,1,drive
substitution,just,1,back
substitution,just,1,nick
substitution,just,1,its
substitution,just,1,found
substitution,started,1,im
substitution,and,1,niggas
substitution,and,1,passed
substitution,and,1,wont
substitution,and,1,so
substitution,and,1,going
substitution,and,1,my
substitution,and,1,inside
substitution,and,1,ever
substitution,and,2,im
substitution,and,1,never
substitution,and,1,babe
substitution,and,1,you
substitution,and,1,ways
substitution,and,1,for
substitution,and,1,bands
substitution,and,2,a
substitution,and,1,little
substitution,and,1,lookin
substitution,and,1,to
substitution,and,1,dont
substitution,and,1,stained
substitution,and,1,louis
substitution,and,1,appalled
substitution,and,1,mental
substitution,and,1,soon
substitution,and,1,at
substitution,them,1,in
substitution,them,1,kinda
substitution,gear,1,aint
substitution,try,1,when
substitution,try,1,let
substitution,to,2,i
substitution,to,2,a
substitution,to,1,advice
substitution,to,1,through
substitution,to,1,man
substitution,to,1,cheap
substitution,to,1,im
substitution,to,1,and
substitution,to,1,is
substitution,to,1,me
substitution,to,1,you
substitution,to,1,mine
substitution,to,1,the
substitution,to,1,all
substitution,to,1,laws
substitution,to,1,in
substitution,to,1,too
substitution,to,1,this
substitution,to,1,on
substitution,passed,1,giving
substitution,passed,1,doing
substitution,workin,2,working
substitution,patek,2,paddock
substitution,patek,1,caught
substitution,patek,1,it
substitution,goin,1,going
substitution,goin,1,okay
substitution,caught,1,call
substitution,caught,1,someone
substitution,once,1,ones
substitution,once,1,block
substitution,id,1,i
substitution,id,2,a
substitution,id,1,for
substitution,id,1,just
substitution,was,1,feels
substitution,was,1,shit
substitution,was,1,where
substitution,manor,1,man
substitution,manor,1,plush
substitution,are,1,a
substitution,are,1,hole
substitution,are,1,breaking
substitution,numbered,1,number
substitution,wakin,1,waking
substitution,some,1,something
substitution,some,1,it
substitution,some,2,the
substitution,some,1,say
substitution,some,1,in
substitution,some,1,watch
substitution,some,1,out
substitution,off,1,up
substitution,off,1,some
substitution,off,1,out
substitution,off,1,you
substitution,off,1,midst
substitution,turn,1,turned
substitution,turn,1,vinci
substitution,givin,1,giving
substitution,usual,1,swear
substitution,swear,1,passed
substitution,us,2,too
substitution,they,1,much
substitution,they,1,had
substitution,they,1,a
substitution,they,1,off
substitution,they,1,talkin
substitution,they,1,diggin
substitution,they,1,she
substitution,much,1,turned
substitution,havent,1,up
substitution,done,1,virgil
substitution,done,1,racks
substitution,taxes,1,a
substitution,too,1,on
substitution,too,1,bottoms
substitution,too,1,it
substitution,too,1,roof
substitution,too,1,plan
substitution,too,1,down
substitution,turnt,1,my
substitution,up,1,wrist
substitution,up,1,man
substitution,up,1,lui
substitution,up,1,you
substitution,up,1,in
substitution,up,1,do
substitution,up,1,these
substitution,up,1,and
substitution,up,1,night
substitution,up,1,to
substitution,up,1,song
substitution,up,1,my
substitution,virgil,1,going
substitution,on,1,me
substitution,on,1,stressin
substitution,on,2,babe
substitution,on,1,no
substitution,on,2,yeah
substitution,on,1,come
substitution,on,1,lord
substitution,on,2,in
substitution,on,1,not
substitution,on,1,put
substitution,on,1,floor
substitution,on,1,we
substitution,on,1,need
substitution,on,1,away
substitution,on,1,v
substitution,on,1,dance
substitution,on,1,product
substitution,on,1,shit
substitution,on,1,you
substitution,wrist,1,ones
substitution,nuts,1,so
substitution,slippin,1,your
substitution,okay,1,up
substitution,okay,2,you
substitution,so,2,i
substitution,so,1,dollars
substitution,so,1,baby
substitution,so,1,to
substitution,so,1,just
substitution,so,1,me
substitution,so,1,your
substitution,so,1,whole
substitution,so,1,you
substitution,so,1,list
substitution,what,1,tell
substitution,what,1,make
substitution,what,2,you
substitution,what,1,time
substitution,what,1,just
substitution,what,1,me
substitution,what,1,doors
substitution,what,1,your
substitution,someone,1,you
substitution,someone,1,and
substitution,hit,1,it
substitution,hit,1,bells
substitution,block,1,us
substitution,tell,1,house
substitution,tell,1,some
substitution,tell,1,at
substitution,rosewood,1,man
substitution,this,1,got
substitution,this,1,under
substitution,this,1,in
substitution,this,1,me
substitution,this,1,life
substitution,this,6,diss
substitution,this,1,even
substitution,this,1,tryna
substitution,this,1,back
substitution,this,1,just
substitution,shit,1,red
substitution,shit,1,your
substitution,shit,1,all
substitution,shit,1,aint
substitution,shit,1,my
substitution,plush,1,on
substitution,room,1,infinities
substitution,room,1,some
substitution,room,1,you
substitution,fumes,1,shout
substitution,fill,1,불이оже
substitution,fill,1,money
substitution,mind,1,이렇게
substitution,mind,1,so
substitution,with,1,there
substitution,with,1,fumed
substitution,with,1,as
substitution,with,1,box
substitution,with,1,glad
substitution,with,1,unless
substitution,with,1,i
substitution,with,1,cash
substitution,with,1,she
substitution,with,1,like
substitution,with,1,mouth
substitution,with,1,bitch
substitution,with,1,fuck
substitution,with,1,couple
substitution,ideas,1,is
substitution,highest,1,hope
substitution,lit,1,that
substitution,hope,1,you
substitution,hope,1,die
substitution,make,1,fear
substitution,make,1,that
substitution,make,1,got
substitution,outta,1,doing
substitution,outta,1,on
substitution,outta,1,out
substitution,lets,1,show
substitution,lets,1,the
substitution,lets,1,whip
substitution,lets,1,talkin
substitution,lets,1,baby
substitution,saw,1,back
substitution,saw,1,there
substitution,eyes,1,tattin
substitution,eyes,1,curl
substitution,eyes,1,star
substitution,eyes,1,believe
substitution,gone,1,now
substitution,things,1,in
substitution,things,1,gonna
substitution,things,1,all
substitution,might,1,legs
substitution,might,1,a
substitution,might,1,i
substitution,might,1,everything
substitution,fear,1,wrapped
substitution,fear,1,feel
substitution,fear,1,time
substitution,show,1,got
substitution,show,1,shits
substitution,ill,2,the
substitution,ill,2,i
substitution,ill,1,know
substitution,ill,1,under
substitution,ill,1,rainbow
substitution,back,1,car
substitution,back,1,my
substitution,back,1,at
substitution,back,1,yeah
substitution,back,1,she
substitution,back,1,heartless
substitution,back,1,a
substitution,soon,2,in
substitution,soon,1,zoom
substitution,wanna,1,outta
substitution,wanna,1,it
substitution,wanna,1,back
substitution,wanna,1,you
substitution,wanna,1,never
substitution,wanna,1,party
substitution,wanna,1,a
substitution,hear,1,here
substitution,hear,1,it
substitution,nah,1,when
substitution,now,1,im
substitution,now,1,you
substitution,now,1,and
substitution,now,1,running
substitution,now,1,thing
substitution,now,1,fallin
substitution,now,1,around
substitution,ah,1,say
substitution,ah,1,side
substitution,ah,1,fire
substitution,ah,1,you
substitution,legs,1,you
substitution,wrapped,1,love
substitution,around,1,me
substitution,around,1,to
substitution,around,1,splint
substitution,around,1,dm
substitution,around,1,therapeutic
substitution,beard,1,you
substitution,fastest,1,cry
substitution,car,1,but
substitution,zoom,1,dont
substitution,skrrt,1,wanna
substitution,skrrt,1,a
substitution,when,1,case
substitution,when,1,with
substitution,when,1,rise
substitution,when,1,but
substitution,alive,1,what
substitution,love,1,i
substitution,love,1,me
substitution,love,1,your
substitution,love,1,for
substitution,love,1,dont
substitution,love,1,asshole
substitution,love,1,they
substitution,love,1,the
substitution,love,1,it
substitution,dont,1,im
substitution,dont,1,make
substitution,dont,1,walk
substitution,dont,1,man
substitution,dont,1,i
substitution,dont,1,keep
substitution,dont,1,go
substitution,dont,3,say
substitution,dont,1,wanna
substitution,dont,1,want
substitution,dont,1,proud
substitution,dont,1,do
substitution,lie,1,high
substitution,wont,1,a
substitution,wont,1,no
substitution,wont,1,enough
substitution,wont,1,get
substitution,cross,1,gnome
substitution,cross,1,did
substitution,heart,1,i
substitution,heart,1,man
substitution,heart,1,with
substitution,die,1,outta
substitution,die,1,dont
substitution,pistol,1,aint
substitution,side,1,the
substitution,side,1,you
substitution,youd,1,you
substitution,mm,1,mmhmm
substitution,cried,1,nobody
substitution,cried,1,even
substitution,cried,1,noticed
substitution,cried,1,i
substitution,nobody,1,saw
substitution,nobody,1,you
substitution,nobody,1,i
substitution,noticed,1,standing
substitution,standing,1,thought
substitution,right,1,they
substitution,there,1,might
substitution,there,1,now
substitution,there,1,guy
substitution,kinda,1,care
substitution,kinda,1,hair
